task,num_simulations,num_observation,algorithm,C2ST,C2ST_Z,MMD,LC2ST-accuracy-z,LC2ST-probasMean-z,exp-LC2ST-accuracy-z,exp-LC2ST-probasMean-z,LC2ST-accuracy-theta,LC2ST-probasMean-theta,exp-LC2ST-accuracy-theta,exp-LC2ST-probasMean-theta,RT,NLTP,folder
two_moons,10³,1,NPE,0.75385,0.79375,2.5987625e-05,0.6434,0.633247,0.74505,0.7425,0.6823,0.6382537,0.78855,0.77695,0.7648944218953451,-3.206892251968384,0
two_moons,10³,8,NPE,0.68205,0.73575,0.0051677227,0.6398,0.5914382,0.6836,0.6851,0.5952,0.5718197,0.6724,0.6938,0.3707359949747721,-4.319483757019043,7
two_moons,10³,7,NPE,0.61145,0.79155,0.010549188,0.6975,0.599815,0.6746,0.6773,0.7786,0.5803496,0.67815,0.6943,0.4221697807312011,-3.746084213256836,6
two_moons,10³,2,NPE,0.6268,0.71825,9.1433525e-05,0.5609,0.58923525,0.7348,0.7308,0.7017,0.61217135,0.732,0.74655,0.6388080596923829,-0.9435777068138124,1
two_moons,10³,9,NPE,0.7534,0.76405,0.013482869,0.6594,0.61731493,0.714,0.71655,0.5907,0.61635697,0.735,0.72765,0.3044340451558431,-2.986504554748535,8
two_moons,10³,5,NPE,0.8194,0.81785,0.0005671978,0.5586,0.5703374,0.6748,0.67795,0.6329,0.5856063,0.7123,0.68545,0.3677084604899088,-2.854691505432129,4
two_moons,10³,4,NPE,0.60405,0.6293,0.008176029,0.6172,0.54754937,0.63145,0.6281,0.4544,0.5154147,0.6002,0.58385,0.4920710563659668,-3.7154757976531982,3
two_moons,10³,3,NPE,0.69495,0.7987,0.0010459423,0.6632,0.620564,0.73945,0.73385,0.6578,0.6460433,0.7585,0.7718,0.4377477645874023,-1.4882853031158447,2
two_moons,10³,6,NPE,0.75175,0.765,0.004315257,0.6272,0.61835146,0.72165,0.7257,0.6338,0.63970935,0.7487,0.7518,0.5990861892700196,-3.666501998901367,5
two_moons,10⁴,10,NPE,0.59985,0.71205,0.0038969517,0.58,0.5485677,0.62135,0.62095,0.5074,0.5390823,0.59255,0.6057,4.440641784667969,-2.4970619678497314,9
